linenumber,fec_committee_id,transaction_id,entity_type,organization_name,last_name,first_name,middle_name,prefix,suffix,street_1,street_2,city,state,zip_code,election_code,date,amount,purpose,purpose_clean,memo_code,memo_text,cycle,candidate
SB17,C00840017,500656450,ORG,Grassroots Media,NA,NA,NA,NA,NA,146 Montgomery Ave,Ste 201,Bala Cynwyd,PA,190042956,NA,4/29/24,575560,Media Advertising,Media Advertising,NA,NA,2024,Alsobrooks
SB17,C00840017,500659773,ORG,Grassroots Media,NA,NA,NA,NA,NA,146 Montgomery Ave,Ste 201,Bala Cynwyd,PA,190042956,NA,5/6/24,450000,Media Advertising,Media Advertising,NA,NA,2024,Alsobrooks
SB17,C00840017,500673460,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,6/7/24,207650,List Acquisition,List Acquisition,NA,NA,2024,Alsobrooks
SB17,C00840017,500659774,ORG,Grassroots Media,NA,NA,NA,NA,NA,146 Montgomery Ave,Ste 201,Bala Cynwyd,PA,190042956,NA,5/9/24,125000,Media Advertising,Media Advertising,NA,NA,2024,Alsobrooks
SB17,C00840017,500662907,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,5/22/24,100000,List Acquisition,List Acquisition,NA,NA,2024,Alsobrooks
SB17,C00840017,500661937,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,5/15/24,100000,List Acquisition,List Acquisition,NA,NA,2024,Alsobrooks
SB17,C00840017,500673538,ORG,RWT Productions LLC,NA,NA,NA,NA,NA,8932 Orange Hunt Ln,NA,Annandale,VA,220034125,NA,6/18/24,88821.22,Direct Mail Production,Direct Mail Services,NA,NA,2024,Alsobrooks
SB17,C00840017,500673458,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,6/24/24,50000,Online Advertising,Online Advertising,NA,NA,2024,Alsobrooks
SB17,C00840017,500673457,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,6/18/24,50000,Online Advertising,Online Advertising,NA,NA,2024,Alsobrooks
SB17,C00840017,500662934,ORG,Hart Research Associates,NA,NA,NA,NA,NA,1250 Connecticut Ave NW,Ste 530,Washington,DC,200362603,NA,5/21/24,48000,Research Consulting,Research Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500673456,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,6/12/24,40000,Online Advertising,Online Advertising,NA,NA,2024,Alsobrooks
SB17,C00840017,500662908,ORG,Magnus Pearson Media,NA,NA,NA,NA,NA,311 Wolfe St,NA,Alexandria,VA,223143725,NA,5/21/24,36903.83,Media Production,Media Production,NA,NA,2024,Alsobrooks
SB17,C00840017,500661938,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,5/15/24,35016,List Acquisition,List Acquisition,NA,NA,2024,Alsobrooks
SB17,C00840017,500662906,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,5/22/24,25000,List Acquisition,List Acquisition,NA,NA,2024,Alsobrooks
SB17,C00840017,500673502,ORG,Gusto,NA,NA,NA,NA,NA,525 20Th St,NA,San Francisco,CA,941074345,NA,5/30/24,23879.36,Payroll Taxes,Payroll Taxes,NA,NA,2024,Alsobrooks
SB17,C00840017,500662930,ORG,Venable LLP,NA,NA,NA,NA,NA,750 E Pratt St,Ste 900,Baltimore,MD,212023157,NA,5/21/24,21720,Legal Consulting,Legal Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500662901,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,5/21/24,20000,Online Advertising,Online Advertising,NA,NA,2024,Alsobrooks
SB17,C00840017,500661935,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,5/15/24,20000,Online Advertising,Online Advertising,NA,NA,2024,Alsobrooks
SB17,C00840017,500673454,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,6/5/24,20000,Online Advertising,Online Advertising,NA,NA,2024,Alsobrooks
SB17,C00840017,500663110,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,5/24/24,20000,Online Advertising,Online Advertising,NA,NA,2024,Alsobrooks
SB17,C00840017,500661936,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,5/15/24,20000,Online Advertising,Online Advertising,NA,NA,2024,Alsobrooks
SB17,C00840017,500673455,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,6/7/24,20000,Online Advertising,Online Advertising,NA,NA,2024,Alsobrooks
