County,"PARTYCODE",Day1,%Day1,Day2,%Day2,Day3,%Day3,Day4,% Day4,Day5,%Day5,Day6,%Day6,Day7,%Day7,Day8,%Day8,Total,%Total,"EligibleActives"
Allegany,DEM,44,0.40%,31,0.28%,21,0.19%,21,0.19%,34,0.31%,29,0.26%,45,0.41%,66,0.60%,291,2.66%,"10,944"
"",LIB,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",NLM,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",OTH,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",REP,108,0.48%,81,0.36%,42,0.19%,61,0.27%,108,0.48%,102,0.45%,93,0.41%,131,0.58%,726,3.21%,"22,620"
"",UNA,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",TOTAL,152,0.45%,112,0.33%,63,0.19%,82,0.24%,142,0.42%,131,0.39%,138,0.41%,197,0.59%,"1,017",3.03%,"33,564"
Anne Arundel,DEM,635,0.37%,726,0.42%,429,0.25%,414,0.24%,796,0.46%,865,0.50%,964,0.56%,"1,598",0.93%,"6,427",3.73%,"172,447"
"",LIB,1,0.07%,1,0.07%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,0.14%,"1,472"
"",NLM,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,32
"",OTH,2,0.08%,1,0.04%,1,0.04%,0,0.00%,1,0.04%,3,0.12%,1,0.04%,0,0.00%,9,0.36%,"2,496"
"",REP,563,0.44%,669,0.52%,358,0.28%,308,0.24%,745,0.58%,702,0.55%,793,0.62%,"1,105",0.86%,"5,243",4.07%,"128,755"
"",UNA,18,0.03%,28,0.05%,14,0.02%,16,0.03%,21,0.03%,27,0.04%,28,0.05%,38,0.06%,190,0.32%,"60,210"
"",TOTAL,"1,219",0.33%,"1,425",0.39%,802,0.22%,738,0.20%,"1,563",0.43%,"1,597",0.44%,"1,786",0.49%,"2,741",0.75%,"11,871",3.25%,"365,412"
Baltimore City,DEM,"1,668",0.56%,"1,567",0.53%,737,0.25%,703,0.24%,"1,730",0.58%,"1,691",0.57%,"2,147",0.73%,"3,279",1.11%,"13,522",4.57%,"295,959"
"",LIB,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",NLM,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",OTH,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",REP,69,0.24%,45,0.16%,21,0.07%,43,0.15%,55,0.19%,72,0.25%,63,0.22%,110,0.39%,478,1.68%,"28,477"
"",UNA,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",TOTAL,"1,737",0.54%,"1,612",0.50%,758,0.23%,746,0.23%,"1,785",0.55%,"1,763",0.54%,"2,210",0.68%,"3,389",1.04%,"14,000",4.32%,"324,436"
Baltimore County,DEM,"1,646",0.54%,"1,773",0.58%,"1,024",0.34%,"1,019",0.33%,"1,976",0.65%,"2,174",0.71%,"2,328",0.76%,"3,347",1.10%,"15,287",5.00%,"305,598"
"",LIB,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",NLM,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",OTH,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",REP,976,0.71%,955,0.70%,507,0.37%,505,0.37%,"1,044",0.76%,"1,115",0.81%,"1,095",0.80%,"1,422",1.04%,"7,619",5.56%,"137,037"
County,"PARTYCODE",Day1,%Day1,Day2,%Day2,Day3,%Day3,Day4,% Day4,Day5,%Day5,Day6,%Day6,Day7,%Day7,Day8,%Day8,Total,%Total,"EligibleActives"
Baltimore County,UNA,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",TOTAL,"2,622",0.59%,"2,728",0.62%,"1,531",0.35%,"1,524",0.34%,"3,020",0.68%,"3,289",0.74%,"3,423",0.77%,"4,769",1.08%,"22,906",5.17%,"442,635"
Calvert,DEM,141,0.60%,120,0.51%,95,0.41%,63,0.27%,133,0.57%,141,0.60%,199,0.85%,260,1.11%,"1,152",4.92%,"23,431"
"",LIB,0,0.00%,0,0.00%,1,0.22%,0,0.00%,1,0.22%,1,0.22%,0,0.00%,1,0.22%,4,0.87%,459
"",NLM,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,18
"",OTH,2,0.27%,1,0.14%,1,0.14%,0,0.00%,0,0.00%,0,0.00%,2,0.27%,3,0.41%,9,1.23%,731
"",REP,209,0.75%,224,0.80%,110,0.39%,97,0.35%,221,0.79%,271,0.97%,293,1.05%,378,1.35%,"1,803",6.44%,"27,980"
"",UNA,23,0.14%,18,0.11%,9,0.06%,20,0.12%,22,0.14%,18,0.11%,29,0.18%,36,0.22%,175,1.08%,"16,159"
"",TOTAL,375,0.55%,363,0.53%,216,0.31%,180,0.26%,377,0.55%,431,0.63%,523,0.76%,678,0.99%,"3,143",4.57%,"68,778"
Caroline,DEM,24,0.40%,39,0.65%,15,0.25%,10,0.17%,35,0.58%,40,0.66%,34,0.56%,65,1.08%,262,4.34%,"6,043"
"",LIB,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",NLM,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",OTH,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",REP,76,0.71%,51,0.48%,26,0.24%,25,0.23%,71,0.67%,82,0.77%,63,0.59%,84,0.79%,478,4.49%,"10,647"
"",UNA,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",TOTAL,100,0.60%,90,0.54%,41,0.25%,35,0.21%,106,0.64%,122,0.73%,97,0.58%,149,0.89%,740,4.43%,"16,690"
Carroll,DEM,194,0.59%,181,0.55%,96,0.29%,119,0.36%,219,0.66%,195,0.59%,231,0.70%,255,0.77%,"1,490",4.50%,"33,146"
"",LIB,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",NLM,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",OTH,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",REP,433,0.68%,415,0.65%,213,0.34%,227,0.36%,480,0.76%,556,0.88%,502,0.79%,668,1.05%,"3,494",5.51%,"63,461"
"",UNA,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",TOTAL,627,0.65%,596,0.62%,309,0.32%,346,0.36%,699,0.72%,751,0.78%,733,0.76%,923,0.96%,"4,984",5.16%,"96,607"
Cecil,DEM,67,0.35%,64,0.34%,36,0.19%,52,0.27%,98,0.51%,88,0.46%,87,0.46%,134,0.70%,626,3.29%,"19,047"
